timestamp_utc,event_kind,action,joint,servo_id,enabled,status,backend,dry_run,reason,error,details_json
2026-05-19T18:44:36.140115Z,write,servo_torque,,6,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":6,""status"":""ok"",""timestamp_utc"":""2026-05-19T18:44:36.140115Z""}"
2026-05-19T18:44:51.782443Z,write,servo_torque,,6,false,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":false,""servo_id"":6,""status"":""ok"",""timestamp_utc"":""2026-05-19T18:44:51.782443Z""}"
2026-05-19T18:56:06.642171Z,write,servo_torque,,6,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":6,""status"":""ok"",""timestamp_utc"":""2026-05-19T18:56:06.642171Z""}"
2026-05-19T18:56:25.598794Z,write,servo_torque,,6,false,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":false,""servo_id"":6,""status"":""ok"",""timestamp_utc"":""2026-05-19T18:56:25.598794Z""}"
2026-05-19T19:01:05.156008Z,write,servo_torque,,6,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":6,""status"":""ok"",""timestamp_utc"":""2026-05-19T19:01:05.156008Z""}"
2026-05-19T19:01:13.507946Z,write,servo_torque,,6,false,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":false,""servo_id"":6,""status"":""ok"",""timestamp_utc"":""2026-05-19T19:01:13.507946Z""}"
2026-05-19T19:01:51.049600Z,write,servo_torque,,6,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":6,""status"":""ok"",""timestamp_utc"":""2026-05-19T19:01:51.049600Z""}"
2026-05-19T19:02:01.765355Z,write,servo_torque,,6,false,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":false,""servo_id"":6,""status"":""ok"",""timestamp_utc"":""2026-05-19T19:02:01.765355Z""}"
2026-05-21T05:05:16.232084Z,write,servo_torque,,1,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":1,""status"":""ok"",""timestamp_utc"":""2026-05-21T05:05:16.232084Z""}"
2026-05-21T05:05:16.232666Z,write,servo_torque,,2,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":2,""status"":""ok"",""timestamp_utc"":""2026-05-21T05:05:16.232666Z""}"
2026-05-21T05:05:16.233163Z,write,servo_torque,,3,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":3,""status"":""ok"",""timestamp_utc"":""2026-05-21T05:05:16.233163Z""}"
2026-05-21T05:05:16.233662Z,write,servo_torque,,4,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":4,""status"":""ok"",""timestamp_utc"":""2026-05-21T05:05:16.233662Z""}"
2026-05-21T05:05:16.234146Z,write,servo_torque,,5,true,ok,feetech,false,,,"{""action"":""servo_torque"",""backend"":""feetech"",""dry_run"":false,""enabled"":true,""servo_id"":5,""status"":""ok"",""timestamp_utc"":""2026-05-21T05:05:16.234146Z""}"
